id,data_publicacao,numero_edicao,tipo_ato,titulo,secretaria,texto,url_original,rotulo
DOA-2025-011,2025-07-31,2493,Portarias,Portaria 758 – Institui Grupo de Trabalho de Desburocratização,Secretaria de Administração,"PORTARIA Nº 758, DE 31 DE JULHO DE 2025.
Institui Grupo de Trabalho para estudo e implementação de medidas de desburocratização no âmbito da Administração Pública Municipal de Avaré.
O SECRETÁRIO MUNICIPAL DE ADMINISTRAÇÃO,
RESOLVE:
Art. 1º Fica instituído o Grupo de Trabalho de Desburocratização com o objetivo de simplificar processos administrativos e reduzir exigências desnecessárias ao cidadão.
Art. 2º O Grupo de Trabalho apresentará relatório final em 90 (noventa) dias.
Art. 3º Esta Portaria entra em vigor na data de sua publicação.",https://www.dosp.com.br/leituratexto?p=MjIzNjkwMQ==,portaria
DOA-2025-012,2025-09-10,2526,Portarias,Portaria 733 – Exoneração de cargo em comissão,Secretaria de Administração,"PORTARIA Nº 733, DE 10 DE SETEMBRO DE 2025.
Exonera servidor do cargo em comissão que especifica.
O PREFEITO MUNICIPAL DE AVARÉ,
RESOLVE:
Art. 1º Fica exonerado, a pedido, o servidor Roberto Antônio Carvalho, do cargo em comissão de Diretor de Departamento, referência CC-3, da Secretaria Municipal de Obras e Urbanismo, a partir de 10 de setembro de 2025.
Art. 2º Esta Portaria entra em vigor na data de sua publicação, retroagindo seus efeitos a 10 de setembro de 2025.",https://www.dosp.com.br/exibe_do.php?i=NzA4ODYz,ato_pessoal
DOA-2025-013,2025-07-03,2463,Portarias,Portaria 702 – Nomeação para cargo em comissão,Secretaria de Saúde,"PORTARIA Nº 702, DE 03 DE JULHO DE 2025.
Nomeia servidor para exercer cargo em comissão.
O PREFEITO MUNICIPAL DE AVARÉ,
RESOLVE:
Art. 1º Fica nomeada a Sra. Camila Ferreira Alves para exercer o cargo em comissão de Coordenadora de Vigilância em Saúde, referência CC-2, da Secretaria Municipal de Saúde, a partir de 03 de julho de 2025.
Art. 2º Esta Portaria entra em vigor na data de sua publicação.",https://www.dosp.com.br/leituratexto?p=MjIwMjM2Mw==,ato_pessoal
DOA-2025-014,2025-05-29,2424,Portarias,Portaria 673 – Concessão de Adicional de Insalubridade,Secretaria de Saúde,"PORTARIA Nº 673, DE 29 DE MAIO DE 2025.
Concede Adicional de Insalubridade a servidores da Secretaria de Saúde.
O SECRETÁRIO MUNICIPAL DE SAÚDE,
CONSIDERANDO laudo técnico de insalubridade emitido pelo Médico do Trabalho;
RESOLVE:
Art. 1º Ficam concedidos Adicionais de Insalubridade em grau médio (20%) aos seguintes servidores: Marcos Antônio Pereira – matrícula 3401; Luciana dos Santos – matrícula 3678.
Art. 2º As despesas decorrentes correrão por conta das dotações orçamentárias da Secretaria de Saúde.
Art. 3º Esta Portaria entra em vigor na data de sua publicação.",https://www.dosp.com.br/leituratexto?p=MjE1NzAzMA==,ato_pessoal
DOA-2025-015,2025-04-29,2386,Portarias,Portaria 646 – Concessão de férias a servidores,Secretaria de Educação,"PORTARIA Nº 646, DE 29 DE ABRIL DE 2025.
Concede férias regulamentares a servidores da Secretaria Municipal de Educação.
A SECRETÁRIA MUNICIPAL DE EDUCAÇÃO,
RESOLVE:
Art. 1º Ficam concedidas férias regulamentares, a partir de 01 de maio de 2025, pelos períodos aquisitivos abaixo discriminados: Sandra Helena Costa – matrícula 2245, período 2024/2025, 30 (trinta) dias.
Art. 2º Esta Portaria entra em vigor na data de sua publicação.",https://www.dosp.com.br/leituratexto?p=MjExNTM4Ng==,ato_pessoal
DOA-2025-016,2025-10-03,2546,Portarias,Extrato de Contrato 087/2025 – Serviços de Limpeza,Secretaria de Administração,"EXTRATO DE CONTRATO
Contrato nº 087/2025. Contratante: Município de Avaré. Contratada: Limpeza Total Serviços Ltda., CNPJ 12.345.678/0001-90. Objeto: Prestação de serviços de limpeza e conservação das instalações públicas municipais. Valor: R$ 480.000,00 (quatrocentos e oitenta mil reais). Vigência: 12 (doze) meses a contar da assinatura. Fundamentação Legal: Pregão Eletrônico nº 032/2025. Data de assinatura: 03 de outubro de 2025.",https://www.dosp.com.br/leituratexto?p=MjMyODQ0MQ==,licitacao_contrato
DOA-2025-017,2025-08-15,2510,Outros Atos,Aviso de Pregão Eletrônico 041/2025 – Aquisição de Medicamentos,Secretaria de Saúde,"AVISO DE LICITAÇÃO
PREGÃO ELETRÔNICO Nº 041/2025
O Município de Avaré torna público que realizará licitação na modalidade Pregão Eletrônico, tipo Menor Preço por Item, para Aquisição de Medicamentos para a Rede Municipal de Saúde.
Data de abertura: 29 de agosto de 2025, às 09h00.
Local: Portal de Compras do Governo Federal – www.comprasnet.gov.br.
Edital disponível: Prefeitura Municipal de Avaré, Depto. de Licitações, Rua Cel. Aureliano de Camargo, 601.
Informações: (14) 3732-1000 ramal 230.",https://www.dosp.com.br/exibe_do.php?i=NzA1MDIw,licitacao_contrato
DOA-2025-018,2025-06-10,2437,Outros Atos,Ata de Registro de Preços 021/2025 – Materiais de Construção,Secretaria de Obras,"ATA DE REGISTRO DE PREÇOS Nº 021/2025
Empresa vencedora: Construmais Materiais Ltda., CNPJ 98.765.432/0001-11.
Objeto: Registro de preços para futura e eventual aquisição de materiais de construção civil para manutenção de próprios públicos municipais.
Valor estimado: R$ 320.000,00 (trezentos e vinte mil reais).
Validade: 12 (doze) meses.
Fundamentação: Pregão Eletrônico nº 019/2025.
Assinatura: 10 de junho de 2025.",https://www.dosp.com.br/exibe_do.php?i=NjYwMTIz,licitacao_contrato
DOA-2025-019,2025-05-02,2394,Outros Atos,Resultado de Pregão 015/2025 – Locação de Veículos,Secretaria de Administração,"RESULTADO DE JULGAMENTO
PREGÃO ELETRÔNICO Nº 015/2025
Objeto: Locação de veículos para atendimento às necessidades das secretarias municipais.
Empresa vencedora: Auto Locações Avaré Ltda., CNPJ 55.443.221/0001-78.
Lote 1 (veículos de passeio): R$ 8.500,00/mês.
Lote 2 (utilitários): R$ 12.200,00/mês.
Total adjudicado: R$ 248.400,00.
Data do julgamento: 02 de maio de 2025.",https://www.dosp.com.br/exibe_do.php?i=NjQ4OTky,licitacao_contrato
DOA-2025-020,2025-03-20,2337,Outros Atos,Extrato de Aditivo Contratual – Empresa de TI,Secretaria de Administração,"EXTRATO DE TERMO ADITIVO
1º Termo Aditivo ao Contrato nº 054/2024. Contratante: Município de Avaré. Contratada: Tech Sistemas de Informação Ltda., CNPJ 33.221.100/0001-44. Objeto: Prorrogação do prazo de vigência por mais 12 (doze) meses e reajuste de 4,62% pelo IPCA/IBGE. Novo valor mensal: R$ 18.450,00. Nova vigência: até 20 de março de 2026. Fundamentação: art. 57, II, da Lei 8.666/93.",https://www.dosp.com.br/exibe_do.php?i=NjI2MzQ1,licitacao_contrato
DOA-2025-021,2025-03-13,2328,Concursos Públicos/Processos Seletivos,Edital de Classificação Final – Concurso Público 03/2025,Secretaria de Administração,"EDITAL DE HOMOLOGAÇÃO E CLASSIFICAÇÃO FINAL
CONCURSO PÚBLICO Nº 03/2025
O Prefeito Municipal de Avaré torna público o resultado final e homologação do Concurso Público nº 03/2025, para provimento de cargos efetivos na Administração Municipal.
CARGO: AGENTE ADMINISTRATIVO (40h semanais)
Classificação final:
1º lugar – Beatriz Carvalho Monteiro – 87,50 pontos
2º lugar – Rafael Augusto Silveira – 85,00 pontos
3º lugar – Priscila Nascimento Cunha – 83,75 pontos
As inscrições homologadas totalizam 412 candidatos. O prazo para interposição de recursos está encerrado.",https://www.dosp.com.br/leituratexto?p=MjA1MDY4Nw==,edital_concurso
DOA-2025-022,2025-02-03,2286,Concursos Públicos/Processos Seletivos,Edital de Abertura – Processo Seletivo 01/2025 Agente de Saúde,Secretaria de Saúde,"EDITAL DE ABERTURA
PROCESSO SELETIVO SIMPLIFICADO Nº 01/2025
A Prefeitura Municipal de Avaré torna público que estão abertas as inscrições para o Processo Seletivo Simplificado destinado ao preenchimento de vagas temporárias para o cargo de Agente Comunitário de Saúde.
VAGAS: 08 (oito) – área urbana e rural.
REQUISITOS: Ensino Médio Completo; residir na área de atuação.
INSCRIÇÕES: 03 a 17 de fevereiro de 2025, na sede da Secretaria de Saúde.
TAXA: Isento.
PROVA OBJETIVA: 02 de março de 2025, às 08h00.",https://www.dosp.com.br/exibe_do.php?i=NjA2Nzg5,edital_concurso
DOA-2025-023,2025-01-20,2265,Concursos Públicos/Processos Seletivos,Edital de Convocação – Concurso Público 01/2023,Secretaria de Educação,"EDITAL DE CONVOCAÇÃO Nº 005/2025
O Prefeito Municipal de Avaré convoca os candidatos abaixo relacionados, aprovados no Concurso Público nº 01/2023, para o cargo de Professor de Educação Básica I, a se apresentarem na Secretaria Municipal de Educação para entrega de documentos e posse.
PRAZO PARA APRESENTAÇÃO: 20 a 31 de janeiro de 2025.
LOCAL: Secretaria Municipal de Educação, Rua 13 de Maio, 1230.
Candidatos convocados:
1. Ana Lúcia Ferreira – classificação 12ª
2. Renato Gomes Pinto – classificação 13ª
O não comparecimento no prazo implica desistência da vaga.",https://www.dosp.com.br/exibe_do.php?i=NTk4NzY1,edital_concurso
DOA-2025-024,2025-03-21,2338,Contas Públicas e Instrumentos de Gestão Fiscal,Balancete Financeiro – Fevereiro/2025,Secretaria de Finanças,"BALANCETE FINANCEIRO – FEVEREIRO/2025
MUNICÍPIO DE AVARÉ – CNPJ 46.634.101/0001-60
RECEITA ORÇAMENTÁRIA
Receitas Correntes: R$ 18.432.567,89
  Tributária: R$ 4.120.345,00
  Transferências Correntes: R$ 12.890.122,89
  Outras Receitas Correntes: R$ 1.422.100,00
DESPESA ORÇAMENTÁRIA
Despesas Correntes: R$ 16.789.234,12
  Pessoal e Encargos Sociais: R$ 11.230.456,78
  Outras Despesas Correntes: R$ 5.558.777,34
SALDO DO PERÍODO: R$ 1.643.333,77
Publicado em conformidade com a Lei de Responsabilidade Fiscal (LRF), art. 48.",https://www.dosp.com.br/leituratexto?p=MjA2MzE0MQ==,contas_publicas
DOA-2025-025,2025-01-31,2281,Contas Públicas e Instrumentos de Gestão Fiscal,Demonstrativo Receita e Despesa – Dezembro/2024,Secretaria de Finanças,"DEMONSTRATIVO DA RECEITA E DESPESA
EXERCÍCIO 2024 – DEZEMBRO
RESUMO ORÇAMENTÁRIO ANUAL
Receita Orçamentária Total Arrecadada: R$ 215.678.432,00
Despesa Orçamentária Total Realizada: R$ 208.934.567,00
Superávit Orçamentário: R$ 6.743.865,00
DÍVIDA PÚBLICA:
Dívida Fundada Interna: R$ 12.340.000,00
Garantias e Contragarantias: R$ 0,00
Publicado nos termos do art. 52 da Lei Complementar nº 101/2000 – Lei de Responsabilidade Fiscal.",https://www.dosp.com.br/leituratexto?p=MTk5Nzg5Ng==,contas_publicas
DOA-2025-026,2025-04-30,2388,Contas Públicas e Instrumentos de Gestão Fiscal,Prestação de Contas – FUNDEB 1º Trimestre 2025,Secretaria de Educação,"PRESTAÇÃO DE CONTAS DO FUNDEB – 1º TRIMESTRE 2025
Nos termos do art. 27 da Lei nº 14.113/2020 (FUNDEB):
RECEITA FUNDEB 1º TRIM/2025:
Total recebido: R$ 8.234.567,00
DESPESA FUNDEB 1º TRIM/2025:
Pagamento de profissionais do magistério: R$ 7.102.340,00 (86,3%)
Outras despesas de MDE: R$ 1.132.227,00 (13,7%)
O percentual aplicado em remuneração ao magistério atende ao mínimo legal de 70% exigido pela legislação vigente.
Certificado pelo Conselho Municipal de Educação em 28/04/2025.",https://www.dosp.com.br/exibe_do.php?i=NjQ2MjMw,contas_publicas
DOA-2025-027,2025-06-30,2458,Contas Públicas e Instrumentos de Gestão Fiscal,Relatório de Gestão Fiscal – 1º Semestre 2025,Secretaria de Finanças,"RELATÓRIO DE GESTÃO FISCAL – 1º SEMESTRE 2025
Em atendimento ao disposto no art. 54 da Lei Complementar nº 101/2000:
DESPESA COM PESSOAL:
Despesa Total com Pessoal: R$ 68.432.100,00
Receita Corrente Líquida (RCL): R$ 102.890.000,00
Percentual: 66,5% da RCL (limite prudencial: 51,3%)
DÍVIDA CONSOLIDADA LÍQUIDA:
Total: R$ 11.200.000,00 (10,9% da RCL)
Limite estabelecido: 1,2 x RCL
SITUAÇÃO: DENTRO DOS LIMITES LEGAIS.",https://www.dosp.com.br/exibe_do.php?i=NjgyMjMx,contas_publicas
DOA-2025-028,2025-03-21,2338,Decretos,Decreto 503 – Declara Utilidade Pública,Secretaria de Administração,"DECRETO Nº 503, DE 21 DE MARÇO DE 2025.
Declara de Utilidade Pública Municipal a Associação dos Moradores do Bairro Jardim das Flores.
O PREFEITO MUNICIPAL DE AVARÉ,
DECRETA:
Art. 1º Fica declarada de Utilidade Pública Municipal a Associação dos Moradores do Bairro Jardim das Flores, CNPJ 22.111.333/0001-55.
Art. 2º A Declaração de Utilidade Pública não implica subvenção, auxílio ou qualquer dotação financeira por parte do Município.
Art. 3º Este Decreto entra em vigor na data de sua publicação.",https://www.dosp.com.br/leituratexto?p=MjA2MzE0MQ==,decreto
DOA-2025-029,2025-02-19,2305,Decretos,Decreto 370 – Institui Comissão de Revisão do Plano Diretor,Secretaria de Obras,"DECRETO Nº 370, DE 19 DE FEVEREIRO DE 2025.
Institui Comissão de Revisão do Plano Diretor Municipal e dá outras providências.
O PREFEITO MUNICIPAL DE AVARÉ,
DECRETA:
Art. 1º Fica instituída a Comissão de Revisão do Plano Diretor do Município de Avaré.
Art. 2º A comissão será composta por representantes do poder público, da sociedade civil e do setor produtivo.
Art. 3º O prazo para conclusão dos trabalhos será de 180 (cento e oitenta) dias.",https://www.dosp.com.br/exibe_do.php?i=NjExODM3,decreto
DOA-2025-030,2025-01-01,2248,Decretos,Decreto 001 – Regulamenta a Lei Orçamentária Anual 2025,Secretaria de Finanças,"DECRETO Nº 001, DE 01 DE JANEIRO DE 2025.
Regulamente a execução da Lei Orçamentária Anual do exercício de 2025.
O PREFEITO MUNICIPAL DE AVARÉ,
DECRETA:
Art. 1º A execução do Orçamento de 2025, aprovado pela Lei Municipal nº 4.100/2024, obedecerá às normas estabelecidas neste Decreto.
Art. 2º As unidades gestoras ficam autorizadas a realizar despesas de acordo com as dotações constantes da Lei Orçamentária Anual.
Art. 3º Este Decreto entra em vigor em 1º de janeiro de 2025.",https://www.dosp.com.br/leituratexto?p=MTk1MjUzNg==,decreto
DOA-2025-031,2025-01-31,2281,Portarias,Portaria 283 – Institui Comissão de Inventário Patrimonial,Secretaria de Administração,"PORTARIA Nº 283, DE 31 DE JANEIRO DE 2025.
Institui Comissão de Inventário Patrimonial para levantamento dos bens móveis e imóveis do Município.
O SECRETÁRIO MUNICIPAL DE ADMINISTRAÇÃO,
RESOLVE:
Art. 1º Fica instituída a Comissão de Inventário Patrimonial.
Art. 2º A Comissão será responsável pelo levantamento, identificação e avaliação de todos os bens patrimoniais do Município.
Art. 3º O prazo para conclusão dos trabalhos é de 60 (sessenta) dias.",https://www.dosp.com.br/leituratexto?p=MTk5Nzg5Ng==,portaria
DOA-2025-032,2025-01-01,2248,Portarias,Portaria 001 – Designa responsáveis pelas secretarias,Secretaria de Administração,"PORTARIA Nº 001, DE 01 DE JANEIRO DE 2025.
Designa os responsáveis pelo expediente das Secretarias Municipais durante o recesso administrativo.
O PREFEITO MUNICIPAL DE AVARÉ,
RESOLVE:
Art. 1º Ficam designados para responder pelo expediente ordinário durante o recesso de 01 a 06 de janeiro de 2025, os seguintes servidores: Secretaria de Administração: Thiago Alves Pereira; Secretaria de Saúde: Dra. Marcela Ortega; Secretaria de Educação: Prof. Sílvio Rocha.
Art. 2º Esta Portaria entra em vigor na data de sua publicação.",https://www.dosp.com.br/leituratexto?p=MTk1MjUzNg==,ato_pessoal
DOA-2025-033,2025-10-31,2573,Atos Legislativos,Lei Complementar 87 – Altera o Código Tributário Municipal,Não identificada,"LEI COMPLEMENTAR Nº 87, DE 31 DE OUTUBRO DE 2025.
Altera dispositivos do Código Tributário Municipal, instituído pela Lei Complementar nº 12/2002.
A CÂMARA MUNICIPAL DE AVARÉ decreta e eu sanciono a seguinte Lei:
Art. 1º O art. 15 da Lei Complementar nº 12/2002 passa a vigorar com a seguinte redação: O ISSQN incide sobre os serviços constantes da lista anexa à Lei Complementar Federal nº 116/2003.
Art. 2º As alíquotas do ISSQN ficam fixadas conforme tabela em anexo.
Art. 3º Esta Lei entra em vigor em 1º de janeiro de 2026.",https://www.dosp.com.br/leituratexto?p=MjM1OTAxMw==,decreto
DOA-2025-034,2025-07-31,2493,Atos Legislativos,Lei 4.205 – Dispõe sobre a Organização Municipal,Secretaria de Administração,"LEI Nº 4.205, DE 31 DE JULHO DE 2025.
Dispõe sobre a organização básica da Administração Pública Municipal de Avaré e dá outras providências.
A CÂMARA MUNICIPAL DE AVARÉ decreta e eu sanciono a seguinte Lei:
Art. 1º A Administração Pública Municipal de Avaré compreende a Administração Direta e a Administração Indireta.
Art. 2º A Administração Direta é constituída pelos órgãos integrantes da estrutura administrativa da Prefeitura.
Art. 3º São órgãos da Administração Direta: o Gabinete do Prefeito; as Secretarias Municipais; os Departamentos e Divisões.",https://www.dosp.com.br/leituratexto?p=MjIzNjkwMQ==,decreto
DOA-2025-035,2025-05-29,2424,Atos Legislativos,Lei 4.180 – Institui a Política de Saúde Pública,Secretaria de Saúde,"LEI Nº 4.180, DE 29 DE MAIO DE 2025.
Institui a Política Municipal de Saúde Pública de Avaré e dá outras providências.
A CÂMARA MUNICIPAL DE AVARÉ decreta e eu sanciono a seguinte Lei:
Art. 1º A Política Municipal de Saúde Pública tem como princípios a universalidade, a integralidade e a equidade no acesso aos serviços de saúde.
Art. 2º A Secretaria Municipal de Saúde coordenará a implementação desta política.
Art. 3º O Conselho Municipal de Saúde exercerá controle social sobre as ações de saúde.",https://www.dosp.com.br/leituratexto?p=MjE1NzAzMA==,decreto
DOA-2025-036,2025-09-20,2534,Licitações e Contratos,Aviso de Pregão Eletrônico 052/2025 – Aquisição de Mobiliário Escolar,Secretaria de Educação,"AVISO DE LICITAÇÃO
PREGÃO ELETRÔNICO Nº 052/2025
O Município de Avaré torna público que realizará licitação na modalidade Pregão Eletrônico, tipo Menor Preço Global, para Aquisição de Mobiliário Escolar (cadeiras, mesas e armários) para unidades de ensino municipal.
Data de abertura das propostas: 05 de outubro de 2025, às 10h00.
Local: Portal de Compras Governamentais – www.comprasnet.gov.br.
Valor estimado: R$ 185.000,00.
Edital disponível: www.avare.sp.gov.br/licitacoes",https://www.dosp.com.br/exibe_do.php?i=NzE1Njc4,licitacao_contrato
DOA-2025-037,2025-11-15,2586,Licitações e Contratos,Dispensa de Licitação 034/2025 – Serviços de Emergência,Secretaria de Saúde,"DISPENSA DE LICITAÇÃO Nº 034/2025
Contratante: Município de Avaré. Contratada: Assistência Médica Emergencial Ltda., CNPJ 77.654.321/0001-22. Objeto: Contratação emergencial de serviços médicos para cobertura de plantões na UPA 24h, em razão de afastamento de médicos concursados. Valor: R$ 45.000,00 (quarenta e cinco mil reais). Fundamentação: art. 24, IV, da Lei nº 8.666/93. Vigência: 60 dias.",https://www.dosp.com.br/exibe_do.php?i=NzQwMTIz,licitacao_contrato
DOA-2025-038,2025-12-10,2604,Concursos Públicos/Processos Seletivos,Edital de Abertura – Concurso Público 04/2025,Secretaria de Administração,"EDITAL DE ABERTURA
CONCURSO PÚBLICO Nº 04/2025
A Prefeitura Municipal de Avaré torna público o Edital de Abertura do Concurso Público para provimento de vagas efetivas.
CARGOS OFERECIDOS:
- Médico Clínico Geral (4 vagas) – nível superior – salário R$ 8.200,00
- Enfermeiro (6 vagas) – nível superior – salário R$ 4.100,00
- Técnico em Enfermagem (10 vagas) – nível médio – salário R$ 2.300,00
INSCRIÇÕES: 10 a 24 de dezembro de 2025 pelo site www.vunesp.com.br
TAXA: R$ 65,00 (médico) / R$ 45,00 (demais)",https://www.dosp.com.br/exibe_do.php?i=NzQ4OTk5,edital_concurso
DOA-2026-039,2026-01-30,2649,Contas Públicas e Instrumentos de Gestão Fiscal,Balancete Financeiro – Dezembro/2025,Secretaria de Finanças,"BALANCETE FINANCEIRO – DEZEMBRO/2025
MUNICÍPIO DE AVARÉ
RECEITA ORÇAMENTÁRIA – DEZEMBRO/2025
Receitas Correntes: R$ 22.134.780,45
  Tributária (IPTU, ISS, ITBI): R$ 5.890.340,00
  Transferências da União: R$ 9.234.110,45
  Transferências do Estado: R$ 5.120.330,00
  Outras Receitas: R$ 1.890.000,00
DESPESA ORÇAMENTÁRIA – DEZEMBRO/2025
Despesas Correntes: R$ 20.456.120,33
Despesas de Capital: R$ 890.450,00
SALDO: R$ 788.210,12
Publicado nos termos da LRF, art. 48, caput, II.",https://www.dosp.com.br/leituratexto?p=MjQ4MDcwNw==,contas_publicas
